name,time/op (ns/op),±
Gol/1_workers-12,2.85158E+09,0%
Gol/2_workers-12,1.70054E+09,0%
Gol/3_workers-12,1.37902E+09,0%
Gol/4_workers-12,1.07684E+09,0%
Gol/5_workers-12,9.75581E+08,0%
Gol/6_workers-12,8.54006E+08,0%
Gol/7_workers-12,7.89255E+08,0%
Gol/8_workers-12,7.74221E+08,0%
Gol/9_workers-12,7.62517E+08,0%
Gol/10_workers-12,7.78355E+08,0%
Gol/11_workers-12,8.01697E+08,0%
Gol/12_workers-12,8.44061E+08,0%
Gol/13_workers-12,8.38794E+08,0%
Gol/14_workers-12,8.45072E+08,0%
Gol/15_workers-12,8.57414E+08,0%
Gol/16_workers-12,8.58621E+08,0%
