name,time/op (ns/op),±
Gol/1_workers-12,2.71232E+09,3%
Gol/2_workers-12,2.74856E+09,5%
Gol/3_workers-12,2.89133E+09,2%
Gol/4_workers-12,2.76798E+09,1%
Gol/5_workers-12,2.81757E+09,2%
Gol/6_workers-12,2.79128E+09,3%
Gol/7_workers-12,2.79725E+09,2%
Gol/8_workers-12,2.82194E+09,3%
Gol/9_workers-12,2.84832E+09,2%
Gol/10_workers-12,2.89230E+09,3%
Gol/11_workers-12,2.77314E+09,1%
Gol/12_workers-12,2.93034E+09,3%
Gol/13_workers-12,2.89286E+09,0%
Gol/14_workers-12,2.83407E+09,1%
Gol/15_workers-12,2.86672E+09,2%
Gol/16_workers-12,2.93844E+09,2%
